index,content
线程常用方法,sleep：可以指定时间，让线程短暂休眠，通过interrupt可以打断休眠状态，如果抛出中断异常 会清除中断标志；sleep(0) 等价于 yield；yield：上下⽂切换，会让出CPU资源；join：会让join线程先执⾏，主线程暂停；join底层会⼀直检查join线程是否存活，如果存活会让其他线程继续等待；stop：stop不推荐使⽤，因为会强制终⽌未执⾏完的线程。
什么是线程中断,线程中断就是通过中断信号去告诉线程你可以停⽌，但是线程并不会⽴刻停⽌，如果收到了信号，可以⾃定义终⽌逻辑，相对于stop直接强制线程终⽌优雅很多。线程中断的⽅法：interrupt给线程加上中断标志，不会终⽌线程；interrupted判断是否有中断标志，有会清除；isInterrupted判断是否有中断标志，但不会清除。可以通过while循环判断isInterrupted和共享变量来处理中断，但是要注意如果有⽤sleep可以通过interrupt把中断标志位加上。
线程的创建⽅式有哪些,线程创建的⽅式实际只有⼀种，都是通过new Thread创建，然后通过调⽤start⽅法去内核态创建线程，完成后回调run⽅法。通常说的创建⽅式：继承Thread类，重写run⽅法；实现Runable接⼝，重写run⽅法；实现Callable接⼝，重写call⽅法，通过FutureTask创建来获取执⾏的结果；通过线程池创建。
为什么要使⽤线程池,线程的创建和销毁都需要进⾏⽤户态和内核态的切换，当new Thread时会通过start去内核态创建线程，完成后回调run⽅法，使⽤线程池可以减少切换频率；线程池的使⽤⽅便管理线程，通过复⽤线程减少性能开销，以及提⾼执⾏任务的响应速度。
线程池的类型有哪些,常⻅的线程池SingleThreadPool核⼼线程与⾮核⼼线程数为1，⾮核⼼线程存活时间为0，采⽤LinkedBlockingQueue作为阻塞队列，⽐较适合单线程串⾏任务；FixedThreadPool核⼼线程与⾮核⼼线程数为n，⾮核⼼线程存活时间为0，采⽤LinkedBlockingQueue作为阻塞队列，⽐较适合CPU密集型任务；CachedThreadPool核⼼线程数为0，⾮核⼼线程数为n，⾮核⼼线程存活时间为60s，采⽤SynchronousQueue作为阻塞队列，⽐较适合传递性任务；ScheduledThreadPool⽤来定期执⾏任务。
ThreadLocal实现原理,ThreadLocal主要是保存线程变量副本的，⼀般可以⽤来缓存⽤户信息、连接等，通过保证每个线程变量隔离来实现线程安全。ThreadLocal会对线程维护⼀个以ThreadLocal作为Key的Map(ThreadLocalMap)，Value对应的是当前线程变量的副本，Key是弱引⽤所以GC时会回收，但是Value是强引⽤，所以如果不⼿动清除，Value会⼀直霸占⽼年代空间导致内存泄露(ML)。对于ThreadLocal只能保证线程内部的通信，如果想要进⾏⽗⼦线程通信，可以使⽤InheritableThreadLocal，它实现原理是⽗线程在创建⼦线程时会将当前的变量副本拷⻉⼀份给⼦线程，但是InheritableThreadLocal遇到线程池就不能完成⽗⼦通信了，因为线程池⼀旦创建完线程就会进⾏复⽤，所以可以使⽤TransmittableThreadLocal，它实现原理就是在线程池中不管线程是否是新建都会在调⽤时抓取⽗线程的上下⽂给⼦线程。另外ThreadLocal内部ThreadLocalMap使⽤线性探测法实现的哈希表，所以⾯临⼤量线程绑定数据时性能较低，所以Netty引出了FastThreadLocal，底层直接通过更⼤数组空间的开辟，通过数组索引进⾏定位，避免线性探测，采⽤空间换时间，并且FastThreadLocal在任务执⾏完之后会对Value清除避免内存泄露。哈希冲突的解决⽅法：拉链法、红⿊树、线性探测法，即寻找最靠近的下⼀个空槽。
乐观锁和悲观锁的区别,乐观锁：就是每次拿数据时认为别⼈不会修改，所以不会加锁，但是修改数据时会判断有没有⼈去修改这条数据，⼀般情况下乐观锁会配合版本机制⼀起，⽐如AtomicStampedReference，主要是为了避免ABA问题，就是当多个线程去修改共享变量时，某个线程将共享变量从A修改到B，⼜⽴即修改为A，但是其它线程并没有感知到，依旧修改成了B；悲观锁：就是每次拿数据时认为别⼈⼀定为修改，所以会加锁，下个⼈想来操作必须等待前⾯的⼈释放锁，⽐如synchronzied。
常⻅的原⼦类,对于多线程操作变量⾃增的场景，我们可以使⽤AtomicInteger、AtomicLong，它们内部维护了⼀个共享资源state，通过⾃旋CAS来维护state，但是当线程过多时，会导致CPU满载， 所以应对这个问题可以采⽤分散热点的⽅式将热点值分散出去，所以引出了LongAddr，它 通过将共享资源分散到Cells数组的各个槽位，每个线程针对⾃⼰的槽位进⾏CAS操作即可， 最终只要将各个槽位的值累加起来就是结果了，但是它不能实时获取值，另外JUC下还提供 了LongAccumulator实现本质⼀样，可以进⾏⾃定义计算过程，对于CAS操作都会存在ABA问题，如果想处理该问题可以使⽤AtomicStampedReference，它每次修改时都会⽤stamped版 本号进⾏判断。
Java死锁如何避免,避免使⽤嵌套锁，保证按顺序获取锁，并且锁设置超时时间以及注意死锁的检查，能在第⼀时间处理。
什么是CAS,CAS属于乐观锁，就是将预期值与内存中的值进⾏⽐较，如果相等就修改，同样的与乐观锁⼀样会出现ABA问题，所以会配合版本机制⼀起使⽤。ABA问题就是当多个线程去修改共享变量时，某个线程将共享变量从A修改到B，⼜⽴即修改为A，但是其它线程并没有感知到，依旧修改成了B，对于解决ABA问题，可以参考AtomicStampedReference，每次写时都会⽤stamped版本 号进⾏判断，或者MySQL中的乐观锁实现，表中额外维护⼀个版本号version，每次修改时去判断⼀下。为了保证数据能写成功，CAS会配合⾃旋⼀起使⽤，所以当线程过多时，会导致CPU满载，为了避免这个问题，可以参考synchronized的⾃适应⾃旋，⾃旋⼀定时间之后阻塞。CAS从源码层⾯看，主要是通过并发的三⼤特性来考虑的：原⼦性：多个操作要么全部执⾏成功，要么全部执⾏失败。CAS的原⼦性在单核处理器下依赖cmpxchgl指令保证，⽽在多核处理器下需要配合lock前缀修饰才能保证，也就是lock cmpxchgl，lock前缀的三个特性：保证后续指令的原⼦性；缓存⾏锁定，线程去修改⾃⼰本地的变量副本时，会通过缓存⾏锁定将新值刷回主存；触发MESI协议，可以有效的解决可⻅性问题基于写失效的缓存⼀致性协议。有序性：通过C++的volatile关键字保证的，它具备禁⽌重排序以及防⽌代码被优化的功能。可见性：基于lock前缀保证的，但是JUC包下的原⼦类不能保证get和set原⼦性，需要通过volatile修饰共享资源state来保证可见性。
谈⼀下synchronized,synchronized是Java的内置锁，属于悲观锁，悲观锁就是每次读写的时候都会加锁，想要⽤必须等待前⾯的线程解锁。在JDK 6之前是基于Monitor机制实现的，依赖于底层互斥原语Mutex，属于重量级锁，性能较低；在JDK 6之后迫于JUC包的压⼒，对synchronzied进⾏了优化，引⼊了偏向锁、轻量级锁等机制，synchronized为了避免直接从⽤户态切换到内核态park线程，所以在单⼀线程的情况下默认开启偏向锁，在线程交替执⾏的时候会使⽤轻量级锁，偏向锁和轻量级锁 操作都是基于⽤户态的对象MarkWord，也就表示这两种情况下加解锁不需要切换到内 核态，性能⼏乎⽆损耗，如果竞争相对激烈，轻量级锁优先采⽤⾃适应⾃旋来避免park，如果实在不⾏，才会启动重量级锁，park让Mutex互斥量来进⾏，如今性能基本与JUC持平。synchronized的⽤法：对类对象加锁：synchronized(A.class) synchronized static a()对类实例对象加锁：synchronized(this) synchronized(obj)synchonirzd如何保证并发的三⼤特性的：原⼦性：原⼦性是通过加锁和释放锁保证的；有序性、可⻅性：通过在加锁和解锁过程中使⽤内存屏障来确保共享变量的变化对所有线程都是可⻅的以及防⽌指令重排序。加锁：load屏障 + acquire屏障；解锁：store屏障 + release屏障从字节码层⾯看synchronized：同步代码块：通过monitorenter和两个monitorexit实现的，对于第⼀个monitorexit处理正常返 回，第⼆个monitorexit处理异常情况⾃动释放锁，所以synchronized不像Lock那样 需要⾃⼰释放锁，不过也可以通过Unsafe类去⼿动控制synchronized，但是不推荐。synchronized的可重⼊的实现：synchronized会维护⼀个计数器，当monitorenter时计数器 +1，monitorexit时计数器 -1。同步⽅法：通过acc_synchronized访问标志实现。
什么是AQS,AQS(AbstractQueuedSynchronizer)是JUC包下的线程同步框架，JUC包下的许多⼯具都是基 于AQS实现的，内部维护了⼀个volatile修饰的共享变量state和⼀个双向链表的同步队列， state可⽤作锁标识，没有抢到锁的线程就会被安排进⼊同步队列中等待，对于可重⼊性， 可以对state进⾏加减来记录重⼊次数。
谈⼀下Java的共享内存模型JMM,JMM为了屏蔽各种硬件和系统差异来实现Java并发以及告诉我们如何实现线程通信主要围 绕并发的三⼤特性展开的。对于多线程操作共享资源的流程：线程从主存将共享资源读(read)出来，然后加载(load)到⾃⼰本地内存赋值给变量副本，然后线程会使⽤(use)这个变量副本进⾏操作，当先需要修改共享资源的时候，首先会分配(assign)新值给变量副本，然后将新值刷(store)到主存中，最后回写(write)赋值给主存中的共享资源。从操作流程上，其他线程并不能⽴刻感知到共享资源的变化，需要等到某个时间点才能发⽣，⽐如上下⽂切换，所以JMM并不能保证共享资源的实时性，所以需要基于写失效的缓存⼀致性协议MESI来保证实时可⻅性。MESI协议，M代表已修改、E代表独占、S代表共享、I代表失效主存中维护了共享资源。线程A将共享资源读(read)出来，然后加载(load)到⾃⼰本地内存中赋值给变量副本，此时处于独占状态，线程A会使⽤(use)这个变量副本进⾏操作，当线程B也去操作这个共享资源时，此时处于共享状态；当线程A想去修改共享资源时，会将新值分配(assign)给⾃⼰本地内存的变量副本， 然后处于已修改状态，然后刷(store)到主存中，最后回写(write)赋值给主存中的共享资源，此时线程B感知到共享资源变化了，然后将⾃⼰的变量副本失效，处于失效状态。
什么是双亲委派机制,双亲委派机制是⼀个⾃上⽽下的类加载过程，⾸先会委托⽗加载器去加载⽬标类，如果能 找到⽬标类就加载，如果找不到就继续委托它的⽗加载器去加载，如果⽗加载器都加载不 了，就⾃⼰去加载
Tomcat为什么要打破双亲委派机制,从隔离性上讲，相同类库的不同版本需要进⾏隔离防⽌冲突，另外Tomcat⾃⼰的类库也需要隔离；从共享性上讲，保证相同版本之间类库可以进⾏共享，避免重复加载的性能开销 从热部署上讲，每个jsp对应⼀个类加载器，⽅便实现热部署：实现热部署的⽅式可以开启⼀个后台线程实时监听指定路径下jsp⽂件的变动，如果有变动就会将原先的类加载器置为null，等待GC去回收，然后使⽤新的类加载器去加载。
JVM的重要组成部分和作⽤,JVM的组成部分主要分为两个⼦系统和两个组件，两个⼦系统就是类加载⼦系统和字节码执⾏引擎，类加载⼦系统主要是负责将字节码⽂件加载到JVM内存中去，字节码执⾏引擎 主要是负责GC、执⾏字节码⽂件中的指令以及修改程序计数器中的值等。两个组件就是本地接⼝和运⾏时数据区，本地接⼝主要是与本地库打交道，都知道JVM是C++写的，所以需要⼀些本地库的⽀持。运⾏时数据区就是我们常说的JVM内存，主要分为线程共享和线程独享两⼤块线程共享，有堆和⽅法区：⼀般new出来的对象都会存放在堆中，⽅法区(元空间)在JDK 7时处于堆中，在JDK 8中，⽅法区叫元空间，从堆中移除⽽放到直接内存中，主要是因为直接内存对IO操作具有更⾼的性能 并且减少中间步骤的开销(虚拟内存到直接内存的重复开销)。线程独享有栈、本地⽅法栈和程序计数器，栈：栈主要是存放栈帧的，⼀个⽅法对应⼀个栈帧，栈帧主要分为局部 变量表、操作数栈、⽅法出⼝、动态链接。局部变量表类似于⼀个table，存放编译期间的变量或对象的内存地址，在编译期间，this会作为隐式参数放在局部变量表的第⼀位操作数栈；操作数栈主要是⽤来进⾏⼀些操作数运算，运算完之后再赋值到局部变量表；⽅法出⼝就是通过它进⾏定位⽅法被调⽤的位置动态链接；动态链接就是引⽤类型变量与堆中实际对象的关联关系，主要是⽤来定位堆中实际对象的；本地⽅法栈与栈基本⼀致，只不过是⽤来处理本地⽅法；程序计数器相当于代码执⾏位置的标识。整体流程就是类加载⼦系统会将字节码⽂件加载到JVM内存中，⽽字节码⽂件不能直接被操作系统识别，所以需要通过字节码执⾏引擎去解析成操作系统能识别的指令，然后将指令交给CPU去执⾏，⽽这个过程需要本地接⼝与本地库的交互。
对象的创建过程,对象的创建过程是类加载检查、分配内存、初始化零值、设置对象头、执⾏<init>⽅法。类加载检查就是当JVM遇到⼀个new指令时，会先检查这个类的符号引⽤在不在常量翅中，如果能找到就会进⾏类加载检查，如果没有就会进⾏类加载过程；分配内存就是经过类加载检查之后，对象占⽤的内存也能确定下来，会在堆上划分⼀块内存空间给对象使⽤，划分内存的⽅式主要有指针碰撞和空闲列表：指针碰撞就是针对于内存规整的情况⽽⾔的，会将⽤过的内存和空闲的内存⽤指针中间⽤指针隔开，当需要分配内存时，只要将指针往空闲区域 移动就⾏；空闲列表就是针对于内存不规整的情况⽽⾔的，会⽤⼀个列表记录空闲的内存地址，当需要分配内存时，会从列表中找⼀块能存下的，然后更新列表记录。JVM⼀般情况下采⽤CAS +失败重试进⾏分配内存，为了避免并发分配竞争问题，每个线程在JVM启动时都会在Eden区分配⼀块TLAB内存(线程本地分配缓冲)⽤于分配内存，如果TLAB内存不⾜只能在Eden区进⾏分配；初始化零值就是当对象分配内存之后，会给分配到的内存空间赋零值；设置对象头就是对对象头设置相关参数，对象的布局主要有对象头、实例数据和对⻬填充，对象头的布局主要有MarkWord、Klass Pointer、数组⻓度，MarkWord 主要是存放运⾏时数据，⽐如hash、GC分代年龄等，32位占⽤4字节，64位占⽤8字节Klass Pointer 就是指向类元数据信息的指针，32位战友4字节，64位占⽤8字节，开启指针压缩占⽤4字节；数组⻓度是只有数组对象才会有，占⽤4字节实例数据 就是存放类的属性信息；对⻬填充就是保证对象占⽤空间位8的倍数，通过内存对⻬填充后，CPU 的内存访问效率会⼤⼤提升以及规避操作系统之间的差异。通过对象的布局可以计算出Object对象占⽤16字节：calc = (Mark Word-64位) + (Klass Pointer + 开启指针压缩) + 对⻬填充 = 8 byte + 4 byte + 4byte = 16 bytecalc = (Mark Word-64位) + (Klass Pointer + 关闭指针压缩) = 8 byte + 8 byte = 16 byte执⾏<init>⽅法：设置完对象头之后，会执⾏<init>⽅法按照预期值对内存空间进⾏初始化，然后执⾏构造⽅法。
垃圾收集算法有哪些,标记复制算法就是将内存分为⼤⼩相等的两块，⼀块⽤来存，⼀块空着。当进⾏GC时，将存活的对象移到空的那块，清空⽤过的那块，标记复制算法⽐较浪费内存，⼀般⽤在年轻代标记清除算法。标记清除算法就是标记出⾮垃圾对象，清除未标记的对象。标记清除算法当内存空间较⼤时，标记会⾮常耗时，并且会出现⼤量内存碎⽚，⼀般⽤在⽼年代标记整理算法。标记整理算法就是将存活的对象存放在⼀端，清除端以外的对象。标记整理算法可以解决内存碎⽚的问题，但是会涉及⼤量对象的移动，⼀般⽤在⽼年代。分代理论就是根据不同分代的特点选择合适的垃圾收集器。
什么是STW,STW 就是stop the world，会暂停所有⽤户线程来进⾏GC，对于暂停的时间与垃圾收集器有关：年轻代的Minor GC(Young GC) ⼏乎⽆感觉，⽼年代的Full GC可能会感觉到卡顿⼀下。
引⽤类型有哪⼏种,强引⽤：⼀般new出来的对象就是强引⽤，即使内存不⾜，GC都不会回收；软引⽤：通过SoftReference包装的类，在内存溢出(OOM)前会被回收，可以⽤作⾼速缓存使⽤；弱引⽤：通过WeakRefrence包装的，⽆论内存是否充⾜，GC都会回收；虚引⽤：幽灵引⽤⼀般不使⽤。
JVM如何处理跨代引⽤,跨代引⽤处理涉及到卡⻚和卡表的概念：卡⻚，JVM将⽼年代堆分成以512kb的⼀块块内存空间，每块内存会存很多对象；卡表，JVM会在年轻代的Eden区维护⼀个bitmap，⽤来记录卡⻚是否存在跨代引⽤，倘若1号卡⻚存在跨代引⽤，那么就会将bimap的偏移量为1的位置设置为1，表示存在跨代 引⽤关系，此时会将1号卡⻚的所有对象加⼊到GC Root的扫描范围中去。
JVM故障分析,对于还在正常运⾏的系统，可以使⽤jmap去查看JVM中各个区域的使⽤情况，假如有内存激增的情况，可以定位到哪个地⽅对象创建⽐较多，可以使⽤jstack去查看线程的运⾏情况，⽐如有哪些线程阻塞、是否产⽣了死锁可以使⽤jstat查看垃圾回收的情况，假如Full GC⽐较频繁，就得进⾏G调优了。对于各个命令的结果，可以直接通过jvisualvm⼯具查看分析，观察Full GC的频率，如果Full GC频繁但是没有出现OOM，那么表示Full GC实际上回收了很多对象，所以这些对象最好是能在MinorGC的时候进⾏回收，避免直接进⼊⽼年代，对于这种情况，要考虑存活时间不⻓的对象是不是⼤对象，对于⼤对象尽早的让它们进⼊⽼年代，避免由于复制算法带来的性能问题，尝试加⼤年轻代的⼤⼩，让朝⽣夕死的对象在Minor GC的时候被回收，如果Full GC减少，说明调优有效，同时观察占⽤CPU最多的线程，定位具体的⽅法，优化这个⽅法的执⾏，看是否能避免某些对象的过多创建，从⽽节省内存。对于已经发⽣OOM的系统，⼀般⽣产系统中都会配置发⽣OOM的时候⽣成dump⽂件，我们可以通过jvisualvm进⾏分析，找出dump⽂件异常的地⽅⽐如异常的线程、对象，定位到具体的代码位置，然后进⾏详细分析。
内存溢出和内存泄露的区别,内存溢出(OOM)：内存泄露达到⼀定程度会导致内存溢出，但是内存溢出也可能是⼤对象导致的；内存泄露(ML)：对象⽆法得到及时回收，到最后持续占⽤内存空间，造成内存空间的浪费，内存泄露，⼀般是强引⽤才会出现问题。
Redis为什么这么快,基于内存的读写操作，没有磁盘IO的性能开销；采⽤单线程去处理⽹络IO请求以及指令的执⾏，避免多线程的竞争以及上下⽂切换的 开销；采⽤IO多路复⽤epoll机制，让单线程去处理多个请求，当有操作时会⽴刻通知去处理； 对于每种数据类型都进⾏了优化，⽐如使⽤ziplist来节省空间以及skiplist来提升查找1效率。
什么是IO多路复⽤,IO多路复⽤是⼀种同步IO模型，允许单线程去同时监听多个⽂件描述符，⼀旦⽂件描述符就绪就会通知程序去处理，常⻅的有select、poll、epoll。select基于数组实现，每次调⽤都进⾏遍历，最⼤连接数有上限；poll通过链表实现，每次调⽤都进⾏遍历，最⼤连接数⽆上限；epoll通过哈希表实现，通过事件通知，每当有IO事件就绪，系统注册的回调函数 就会被调⽤，最⼤连接数⽆上限。在选择三者上需要根据实际场景进⾏选择，表⾯上看epoll性能最好，但是如果在连接数少并且活跃度较低时，select和poll的性能最好，低效的原因主要在轮询遍历上，所以也得视情况看。
Redis的Reactor模型,Reactor模型有三种：单线程模式：⼀个线程负责多个事件处理，当连接数过多时会造成性能瓶颈，适⽤于连接数较少、复杂度较低的场景；多线程模式(单线程、⼯作线程池)：在单线程Reactor模式的基础上，将业务处理部分交给了线程池，提升并发能⼒， 但是要注意线程安全；主从多线程模式：将整体拆分为主、从Reactor，主Reactor负责监听连接事件，将事件分发给从Reactor去处理，从Reactor负责与客户端读写操作，充分利⽤多核CPU，提升并发能⼒；Redis采⽤的是单线程模式。
Redis怎么实现⾼可⽤,主从模式主要是采⽤了读写分离的⽅式，主节点负责读写，从节点负责读，如果主节点挂了，需要⼈⼯去将从节点晋升为主节点，同时还要告知应⽤⽅。主从复制过程：从节点每次都会向主节点发送pysnc同步指令，主节点对于⾸次连接，会开启bgsave⼦线程将内存中的全量数据⽣成rdb⽂件，在持久化过程中，如果从节点有新的写命令会缓存下来，当持久化结束之后，主节点会将rdb⽂件同步给每个从节点，如果同步期间存在⽹络波动，从节点会进⾏重连，恢复之后会继续同步。主从复制是异步的，存在主从数据不⼀致的问题，所以要保证⽹络畅通、监控主从复制情况以及使⽤数据过期策略。⽹络波动导致从节点同步数据过慢，从节点执⾏阻塞的命令导致数据获取不⼀致，由于⼀主多从会导致主节点压⼒过⼤(主从复制⻛暴)，所以可以考虑主-从-从形式将压⼒分摊出去。哨兵模式：主从模式不能进⾏故障转移⼯作，需要⼈⼯将从节点晋升为主节点，所以引出了哨兵模式，哨兵不进⾏读写，只负责监控、通知以及选主。哨兵选主过程：在运⾏期间，每个哨兵节点每秒都会ping下主节点，如果ping不通，主节点就会被标记为主观下线，如果过半以上的哨兵节点，都认为主节点主观下线，那么主节点就会被标记为客观下线，每个发现主节点客观下线的哨兵节点，都会优先推选⾃⼰去进⾏故障转移，⽽超过⼀半以上选票的哨兵，最终会去负责主从切换的⼯作。Redis Cluster集群模式：哨兵模式在进⾏故障转移的过程中可能因为⽹络问题导致⽆法选主，并且只有⼀个主节点⽆法实现⾼并发，所以引出了Redis Cluster集群模式。Redis Cluster集群模式是由多主多从组成的，⾄少要满⾜ 2N+1 个主节点(过半选举机制)，可以⾃我选主以及故障转移⼯作，Redis Cluster会将数据分散到16384各槽位中，每个节点管理⼀部分数据，当客户端连接集群时，会缓存槽位信息⽤来定位⽬标节点，并且会有定位纠错机制，当发现定位异 常时，会进⾏重定位，并且将槽位信息重新缓存⼀份，集群节点之间的通信是采⽤的gossip协议，由于数据是分散存储的，时效性较弱，Redis Cluster集群模式存在数据倾斜问题，可以采⽤本地缓存、对key进⾏分⽚处理或对⼤key进⾏拆分Redis Cluster集群主从选举过程：当从节点发现主节点挂了，会优先推选⾃⼰，然后告知剩余存活的主节点希望得到⽀持，当某个从节点收到过半以上主节点的反馈之后，就会成为新的主节点，然后告知集群的其它节点，可能会出现两个从节点得到的票数⼀致，此时只要错开时间重新选举即可。
常⻅的IO模型,常⻅的IO模型有BIO、NIO、AIO、IO复⽤；BIO 就是常规的IO操作，同步阻塞，适合少请求的场景；NIO 就是单线程能处理多个请求，当有事件发⽣会通知去处理，同步⾮阻塞，适合⼤量并发请求的场景；AIO 就是NIO的升级版，通过操作系统的回调通知去让线程处理事件，异步⾮阻塞，适合超⼤并发请求的场景；IO复⽤就是基于select、poll、epoll机制去实现，适合⼤量并发连接的场景：select基于数组实现，每次调⽤都进⾏遍历，最⼤连接数有上限；poll通过链表实现，每次调⽤都进⾏遍历，最⼤连接数⽆上限；epoll通过哈希表实现，通过事件通知，每当有IO事件就绪，系统注册的回调函数 就会被调⽤，最⼤连接数⽆上限。在选择三者上需要根据实际场景进⾏选择，表⾯上看epoll性能最好，但是如果在 连接数少并且活跃度较低时，select和poll的性能最好，低效的原因主要在轮询遍历上，所以也得视情况看。
Netty有哪些核⼼组件,Channel 主要负责⽹络操作，⽐如连接、IO读写操作Bootstrap/ServerBootstrap 分别是客户端启动类、服务端启动类EventLoop 配合Channel处理IO操作ChannelHandler 主要负责处理各种事件，⽐如数据处理ChannelPipeline 相当于存放ChannelHandler的容器，每个Channel会绑定⼀个	ByteBuf 是Netty⾃⼰字节容器，⽤于⽹络数据读写
Netty中提供了哪些线程模型,对于线程模型，Netty是基于Reactor模型实现的，Reactor模型分为单线程模式、多线程模式以及主从多线程模式，单线程模式就是⼀个线程负责多个事件处理，多线程模式就是基于线程池的⽅式，复⽤线程处理事件，主从多线程模式就是分为主、从两个，主负责监听以及分发事件，从负责处理事件。在Netty中提供了Reator的单线程模式和多线程模式，对于IO操作都是交给EventLoop线程完成，然后通过EventLoopGroup去管理EventLoop线程来实现资源复⽤。
Zookeeper的节点类型,持久节点就是数据会被持久化下来；持久顺序节点就是基于持久节点的基础上，增加了有序；临时节点就是数据不会被持久化下来；临时顺序节点就是基于临时节点的基础上，增加了有序；容器节点就是可以有很多⼦⼦节点，但是如果没⼦节点，会定时检查去删除；TTL 就是带过期时间的节点。
Zookeeper分布式锁实现,Zookeeper的分布式锁实现可以分为⾮公平锁和公平锁，因为基于CP机制，所以适合并发不⾼的场景。⾮公平锁就是多个线程同时去竞争创建临时节点，未竞争到的线程都会去监听那个临时节点，⼀旦节点被删除，那些线程⼜都会去竞争，⾮公平锁出现惊群效应，也就是同⼀时间⼤量请求去竞争，导致服务压⼒突增；公平锁就是先会去创建⼀个容器节点，需要获取锁的线程会去这个容器节点下创建临时顺序节点，每个节点都会去监听它前⾯的兄弟节点，⼀旦线程释放锁，会按照节点创建顺序选择下⼀个节点去获取锁，保证公平性；容器节点会定期检查有⽆⼦节点，如果没有会删除，可以有效避免⼿动删除的操作。
