index,content
说说 TCP 和 UDP 的区别,首先，UDP 协议和 TCP 协议都属于运输层协议，都是为应用层程序服务，同时具有复用和分用的功能。复用指不同的应用层协议可以共用 UDP 协议和 TCP 协议，而分用则是将数据报解析后分发给不同的应用层程序。UDP 提供面向无连接基于数据报的不可靠传输，而 TCP 提供面向连接基于字节流的可靠传输。在实时性要求高的场景中，UDP 表现良好，因为它快速且不受网络不稳定性的影响，适用于需要源主机以恒定速率发送数据报的应用，如语音通话和视频会议等。相反，在对数据准确性有要求但速度要求不强的场景中，TCP 表现更佳。TCP 是面向连接的，具有可靠交付和拥塞控制等机制，适合于 FTP、HTTP/HTTPS 等需要稳定传输的应用。UDP协议：- 面向无连接，不需要三次握手和四次挥手- 尽最大努力交付，不保证数据传输的可靠性- 面向报文，每次收发都是一整个报文段- 没有拥塞控制，不保证数据传输的稳定性- 支持一对一、一对多、多对一和多对多的通信方式- 首部开销很小（8字节）TCP协议：- 面向连接，需要三次握手和四次挥手- 单播，只能端对端的连接- 可靠交付，具有确认、重传、拥塞控制等机制- 全双工通讯，允许双方同时发送信息- 面向字节流，以字节流的方式进行传输- 头部开销大（最少20字节）UDP 的优点是快速，节省网络资源，适合实时性要求高的场景；缺点是不可靠不稳定，容易造成数据丢失。TCP 的优点是可靠稳定，适合对数据准确性有要求的场景；缺点是速度较慢，消耗系统资源多。
说说 TCP 三次握手四次挥手过程,TCP连接的三次握手过程：1. 第一次握手：   - 客户端向服务器端发送连接请求报文段，包含自身数据通讯初始序号，进入SYN-SENT状态。2. 第二次握手：   - 服务器端收到连接请求报文段后，如果同意，发送应答，包含自身数据通讯初始序号，进入SYN-RECEIVED状态。3. 第三次握手：   - 客户端收到应答后，向服务器端发送确认报文，确认连接成功建立，进入ESTABLISHED状态。TCP连接的四次挥手过程：1. 第一次挥手：   - 客户端认为数据发送完毕，向服务器端发送连接释放请求。2. 第二次挥手：   - 服务器端收到连接释放请求，告知应用层释放TCP连接，并发送ACK包，进入CLOSE-WT状态。3. 第三次挥手：   - 服务器端数据发送完毕后，向客户端发送连接释放请求，进入LAST-ACK状态。4. 第四次挥手：   - 客户端收到连接释放请求，向服务器端发送确认应答报文，进入TIME-WT状态，持续2倍的MSL（最长报文段寿命）。若期间没有收到服务器端的数据报文，进入CLOSED状态。服务器端收到确认应答后，也进入CLOSED状态。客户端向服务器端发起TCP连接的详细过程：1. 初始状态：   - 客户端和服务器端都处于CLOSED（关闭）状态。2. 连接请求发起：   - 客户端向服务器端发出连接请求报文段，其中的同步位SYN置为1，选择初始序号seq=x。客户端进入SYN-SENT状态。3. 连接确认：   - 服务器端收到连接请求报文后，如果同意连接，发送确认响应，其中的SYN和ACK都置为1，确认号为ACK+1，选择初始序号seq=y。服务器端进入SYN-RECEIVED状态。4. 最后确认：   - 客户端收到确认报文后，向服务器端给出确认，ACK置为1，确认号为y+1，自身序号为x+1。TCP连接成功建立，客户端进入ESTABLISHED状态。补充说明：- TCP连接采用三次握手的主要目的是防止已失效的连接请求报文段误导服务器，导致资源浪费。- 四次挥手过程中，服务器端和客户端分别发起连接释放请求，最终确认释放连接。- TCP连接释放的过程相对复杂，保障网络和系统资源的有效利用。
说说TCP/IP 五层模型,五层协议体系结构结合了OSI模型和TCP/IP模型的优点，既简洁又能将每一层描述清楚。在计算机网络中要做到正确的数据交换，就必须提前约定好相应的规则。它是一个协议栈，就是为了统一计算机网络标准，方便数据的交换。1. 应用层：   - 应用层是体系结构中的最高层，定义了应用进程间通信和交互的规则。本层任务就是通过应用进程间的信息数据流通完成特定的网络应用（软件、Web应用等）。因为不同的应用程序都需要不同的应用层协议，所以应用层协议较多，如万维网应用的HTTP协议、电子邮件的SMTP协议、文件传送的DTP协议等。请将应用层交互的数据称为报文，以免产生概念的混淆。    - 协议： HTTP、HTTPS、FTP、TFTP、SMTP等2. 运输层：   - 运输层的任务是负责向两个计算机中进程之间的通信提供一种通用的数据传输服务，应用层通过运输层可以传输报文。通用是指不会针对特定的应用层协议进行详细的划分，多种应用层协议公用同一个运输层服务，所以运输层有复用的功能。当然也有分发的功能，指将接受到的信息分别交付到应用层不同的进程中。    - 协议： UDP、TCP3. 网络层：   - 网络层的任务是负责为网络上不同的主机提供通信服务。在发送数据时，网络层将运输层产生的报文段或者用户数据报封装成分组或者包（packet）进行传送。由于网络层使用IP协议，所以分组或包（packet）也叫IP数据报，简称数据报。网络层还需要寻找合适的路由路线，让源主机运输层发送下来的数据报能通过路由器找到目的主机。    - 协议： ICMP、IGMP、IP（IPv4、IPv6）、ARP、RARP4. 数据链路层：   - 数据链路层简称链路层。两个节点传输数据时，链路层将网络层交下来的数据报组装成帧，在链路上传送帧。每一帧都包括数据和控制信息（同步信息、地址信息、差错控制等）。5. 物理层：   - 物理层上数据的单位是Bit比特，数据的传输都是通过0（或1）比特流来实现的，而0（或1）比特流与电压的高低有关。物理层中比特流的传输不再加控制信息，需要注意的是比特流应从首部开始传送。
HTTP 和 HTTPS 的区别,由于HTTP简单快速的特性，当客户端向服务器端请求数据的时候，只需要传送请求方法和路径就可以取到结果，基于TCP，默认端口号为80，耗时可以简略计算为1RTT，传递的数据全部是明文传输，几乎没有安全性。HTTPS是基于TLS的，而TLS又基于TCP，当客户端向服务器端请求数据的时候，服务器大概率会将客户端重定向到该服务器的443端口，进行新的TCP连接，此时服务器会返回一个证书文件，而不是响应报文体。此时客户端验证证书文件紧接创建对称密钥，之后重新和服务器建立TLS连接，当服务器返回ACK确认之后，连接正式建立，此时上方整个过程耗时为3RTT，并且之后和服务器的通信数据都是通过对称密钥加密过的，几乎无法破解。HTTP和HTTPS的不同点总结如下：- HTTP是基于TCP的，而HTTPS是基于TLS的- HTTP的往返时间为1RTT，而HTTPS的往返时间为3RTT- HTTP只需要创建一次TCP连接，而HTTPS需要创建两次TCP连接- HTTP的默认端口号为80，而HTTPS的默认端口号为443- HTTP的安全性很差，而HTTPS的安全性很强HTTPS虽然在安全方面有很大的优势，但是缺点也很明显，如下：- HTTPS握手阶段耗费时间，几乎是HTTP的数倍，会延长页面的首次绘制时间和增加耗电- HTTPS的效率没有HTTP高，如果部分数据内容实际上并不需要加密，会平白浪费计算机资源- HTTPS的证书需要购买，功能越强大的证书价格更高- HTTPS的加密并不能阻止某些网络攻击，如黑客攻击、拒绝服务攻击等
GET 和 POST 的区别,"- get主要用来获取数据，post主要用来提交数据。- get的参数有长度限制，最长2048字节，而post没有限制。- get的参数会附加在url之 ，以 "" ？ ""分割url和传输数据，多个参数用 ""&""连接，而post会把参数放在http请求体中。- get是明文传输，可以直接通过url看到参数信息，post是放在请求体中，除非用工具才能看到。- get请求会保存在浏览器历史记录中，也可以保存在web服务器日志中。- get在浏览器回退时是无害的，而post会再次提交请求。- get请求会被浏览器主动缓存，而post不会，除非手动设置。- get请求只能进行url编码，而post支持多种编码方式。- get请求的参数数据类型只接受ASCII字符，而post没有限制。"
说说拥塞控制机制,拥塞控制就是防止太多的数据进入到网络中，这样可以使网络中的路由器或者链路不会过载，首先要求当前的网络可以承受住现有的网络负荷，它是一个全局性的过程，拥塞控制的算法有以下四种：- 慢启动（slow-start）：当客户端发送数据的时候，如果一次性把大量的数据字节发送到网络中，就有可能引起网络拥塞，因为并不清楚网络的负荷状态。所以较好的方法是先探测一下，由小到大逐渐增大发送窗口，也就是慢慢地增大窗口数值。通常刚开始发送报文段时先把拥塞窗口cwnd设置为一个最大报文段MSS的值，每收到一对新的报文段确认后，把拥塞窗口的数值再加一个MSS。- 拥塞避免（congestion avoidance）：让拥塞窗口cwnd缓缓地增大，即每经过一个往返时间RTT就把发送方的拥塞窗口cwnd加1，而不是加倍，让拥塞窗口按照线性规律慢慢增长，比慢开始算法的拥塞窗口增长速率慢很多。- 快重传（fast retransmit）：要求接收方每收到一个失序的报文段之后就立即发出重复确认而不是等待自己发送数据时捎带确认，为的就是让发送方能尽早地知道有报文段没有到达接收方。- 快恢复（fast recovery）：两个要点，一是当发送方连续收到三个重复确认时，就执行”乘法减小“算法，把慢开始门限ssthresh减半，这是为了预防网络发生拥塞。二是发送方认为网络很可能没有发生阻塞，因此不会执行慢开始算法，而是把cwnd值设置成慢开始门限ssthresh减半之后的数值，然后执行拥塞避免算法，使拥塞窗口呈线性增长。
说说 HTTPS 加解密的过程是怎么样的,HTTPS数据加解密过程中数据进行对称加密，对称加密所使用的密钥通过非对称加密传输。HTTPS协议的加密过程可以分为两个阶段：- 证书的认证阶段： 在此阶段，使用非对称加解密算法对数据传送阶段的对称加解密密钥进行加密和解密。客户端通过验证服务器的数字证书，获取服务器的公钥，并使用该公钥对对称加密密钥进行加密，以确保安全地传输密钥到服务器端。- 数据传送阶段： 在此阶段，客户端通过证书认证阶段获取到了目标服务器的对称加解密密钥。数据在传输过程中，使用该密钥进行对称加密，并传输给服务器，确保数据的安全性。在整个HTTPS数据传输的过程中涉及到四个密钥：1. CA机构的公钥，用于验证数字证书的可信任性。2. 服务器端的公钥，用于在证书认证阶段进行非对称加密。3. 服务器端的私钥，用于在证书认证阶段进行非对称解密。4. 客户端生成的随机密钥，用于在数据传送阶段进行对称加解密。一个HTTPS请求可以分为两个阶段，证书认证阶段和数据传送阶段，具体细分为六个步骤：1. 客户端向服务器发起HTTPS请求，连接到服务器的443（默认）端口。2. 服务器端使用密钥对，发送数字证书给客户端，其中包含公钥。3. 客户端验证服务器的数字证书合法性，并生成一个随机值作为数据传送阶段的对称加密密钥，并使用服务器的公钥对其进行加密，生成密文。4. 客户端再次向服务器发起HTTP请求，将对称加密密钥的密文发送给服务器。5. 服务器使用私钥解密客户端发送的密文，获取对称加密密钥，并使用该密钥对需要返回给客户端的数据进行加密，生成密文，然后发送给客户端。6. 客户端接收到服务器发送的密文，使用本地的密钥对其进行解密，得到数据明文，完成整个HTTPS传输过程。
UDP 怎么样可以实现可靠的传输,UDP不是面向连接的协议，因此资源消耗小、处理速度快的优点使其在音频、视频和普通数据传输中得到广泛应用。即使偶尔丢失一两个数据包，也不会对接收结果产生太大影响。如果想要使用UDP实现数据的可靠传输，就需要通过应用层来实现。在应用层实现UDP的可靠传输关键点主要有两个：1. 提供超时重传机制： 这可以避免数据报丢失的问题。具体实现时，可以在UDP数据报的首部定义确认序列号和时间戳。时间戳用来计算数据报传输的往返时间（RTT），从而得到合适的重传超时时间（RTO）。然后按照等-停的方式发送数据报，即收到对端的确认之后才发送下一个数据报。当超过重传超时时间时，本端会重传数据报，并将RTO扩大为原来的两倍，重新开始计时。2. 提供确认序列号： 这可以保证数据在传输过程中的正确排序。在请求端，接收到一个数据报后，会取出该数据报首部的时间戳和确认序列号，并在本端添加确认数据报首部后发送给对端。同时，根据确认序列号对已接收的数据报进行排序，并丢弃重复的数据报。
缓存穿透、击穿、雪崩的区别,缓存穿透是指客户端查询了根本不存在的数据，使得这个请求直达存储层，导致其负载过大甚至造成宕机。这种情况可能是由于业务层误将缓存和库中的数据删除造成的，当然也不排除有人恶意攻击，专门访问库中不存在的数据导致缓存穿透。我们可以通过缓存空对象的方式和布隆过滤器两种方式来解决这一问题。缓存空对象是指当存储层未命中后，仍然将空值存入缓存层 ，当客户端再次访问数据时，缓存层直接返回空值。还可以将数据存入布隆过滤器，访问缓存之前以过滤器拦截，若请求的数据不存在则直接返回空值。  缓存击穿：当一份访问量非常大的热点数据缓存失效的瞬间，大量的请求直达存储层，导致服务崩溃。缓存击穿可以通过热点数据不设置过期时间来解决，这样就不会出现上述的问题，这是“物理”上的永不过期。或者为每个数据设置逻辑过期时间，当发现该数据逻辑过期时，使用单独的线程重建缓存。除了永不过期的方式，我们也可以通过加互斥锁的方式来解决缓存击穿，即对数据的访问加互斥锁，当一个线程访问该数据时，其他线程只能等待。这个线程访问过后，缓存中的数据将被重建，届时其他线程就可以直接从缓存中取值。  缓存雪崩：是指当某一时刻缓存层无法继续提供服务，导致所有的请求直达存储层，造成数据库宕机。可能是缓存中有大量数据同时过期，也可能是Redis节点发生故障，导致大量请求无法得到处理。缓存雪崩的解决方式有三种；第一种是在设置过期时间时，附加一个随机数，避免大量的key同时过期。第二种是启用降级和熔断措施，即发生雪崩时，若应用访问的不是核心数据，则直接返回预定义信息/空值/错误信息。或者在发生雪崩时，对于访问缓存接口的请求，客户端并不会把请求发给Redis，而是直接返回。第三种是构建高可用的Redis服务，也就是采用哨兵或集群模式，部署多个Redis实例，这样即使个别节点宕机，依然可以保持服务的整体可用。
Redis 如何与数据库保持双写一致性,保证缓存和数据库的双写一致性，共有四种同步策略，即先更新缓存再更新数据库、先更新数据库再更新缓存、先删除缓存再更新数据库、先更新数据库再删除缓存。先更新缓存的优点是每次数据变化时都能及时地更新缓存，这样不容易出现查询未命中的情况，但这种操作的消耗很大，如果数据需要经过复杂的计算再写入缓存的话，频繁的更新缓存会影响到服务器的性能。如果是写入数据比较频繁的场景，可能会导致频繁的更新缓存却没有业务来读取该数据。 删除缓存的优点是操作简单，无论更新的操作复杂与否，都是直接删除缓存中的数据。这种做法的缺点则是，当删除了缓存之后，下一次查询容易出现未命中的情况，那么这时就需要再次读取数据库。 那么对比而言，删除缓存无疑是更好的选择。那么我们再来看一下先操作数据库和后操作数据库的区别；先删除缓存再操作数据库的话，如果第二步骤失败可能导致缓存和数据库得到相同的旧数据。先操作数据库但删除缓存失败的话则会导致缓存和数据库得到的结果不一致。出现上述问题的时候，我们一般采用重试机制解决，而为了避免重试机制影响主要业务的执行，一般建议重试机制采用异步的方式执行。当我们采用重试机制之后由于存在并发，先删除缓存依然可能存在缓存中存储了旧的数据，而数据库中存储了新的数据，二者数据不一致的情况。 所以我们得到结论：先更新数据库、再删除缓存是影响更小的方案。如果第二步出现失败的情况，则可以采用重试机制解决问题。
